split,target,reference,metric,mean_diff,ci95,lower95,target_better_seeds,seeds
adversarial_compound_shift,recoverability_score_planner_v5,robust_margin_planner,goal_success,0.59062,0.04027,0.55036,10,10
adversarial_compound_shift,recoverability_score_planner_v5,robust_margin_planner,recovery_success,0.31659,0.07133,0.24526,10,10
adversarial_compound_shift,recoverability_score_planner_v5,robust_margin_planner,irreversible_failure,-0.00625,0.00500,-0.01125,4,10
adversarial_compound_shift,recoverability_score_planner_v5,robust_margin_planner,damage,-0.04063,0.01595,-0.05657,9,10
adversarial_compound_shift,recoverability_score_planner_v5,robust_margin_planner,total_cost,-0.54503,0.03955,-0.58458,10,10
adversarial_compound_shift,recoverability_score_planner_v5,robust_margin_planner,calibration_error,-0.37461,0.02602,-0.40063,10,10
adversarial_compound_shift,recoverability_score_planner_v5,robust_margin_planner,safety_utility,0.90009,0.06481,0.83528,10,10
adversarial_compound_shift,recoverability_score_planner_v5,contingent_replanner,goal_success,0.20312,0.05647,0.14665,10,10
adversarial_compound_shift,recoverability_score_planner_v5,contingent_replanner,recovery_success,-0.06580,0.06752,-0.13333,3,10
adversarial_compound_shift,recoverability_score_planner_v5,contingent_replanner,irreversible_failure,0.00000,0.00000,0.00000,0,10
adversarial_compound_shift,recoverability_score_planner_v5,contingent_replanner,damage,0.01094,0.01447,-0.00354,1,10
adversarial_compound_shift,recoverability_score_planner_v5,contingent_replanner,total_cost,-0.10408,0.03206,-0.13614,10,10
adversarial_compound_shift,recoverability_score_planner_v5,contingent_replanner,calibration_error,-0.17948,0.04735,-0.22682,10,10
adversarial_compound_shift,recoverability_score_planner_v5,contingent_replanner,safety_utility,0.26997,0.09375,0.17622,10,10
adversarial_compound_shift,recoverability_score_planner_v5,conformal_failure_filter,goal_success,-0.01563,0.04853,-0.06416,4,10
adversarial_compound_shift,recoverability_score_planner_v5,conformal_failure_filter,recovery_success,-0.04111,0.08803,-0.12914,3,10
adversarial_compound_shift,recoverability_score_planner_v5,conformal_failure_filter,irreversible_failure,-0.00156,0.00306,-0.00462,1,10
adversarial_compound_shift,recoverability_score_planner_v5,conformal_failure_filter,damage,0.00937,0.01659,-0.00721,2,10
adversarial_compound_shift,recoverability_score_planner_v5,conformal_failure_filter,total_cost,0.04993,0.03896,0.01097,2,10
adversarial_compound_shift,recoverability_score_planner_v5,conformal_failure_filter,calibration_error,-0.00996,0.03941,-0.04937,5,10
adversarial_compound_shift,recoverability_score_planner_v5,conformal_failure_filter,safety_utility,-0.03360,0.08714,-0.12075,4,10
adversarial_compound_shift,recoverability_score_planner_v5,learned_failure_classifier,goal_success,-0.05469,0.05904,-0.11373,3,10
adversarial_compound_shift,recoverability_score_planner_v5,learned_failure_classifier,recovery_success,-0.03748,0.11085,-0.14833,3,10
adversarial_compound_shift,recoverability_score_planner_v5,learned_failure_classifier,irreversible_failure,0.00000,0.00000,0.00000,0,10
adversarial_compound_shift,recoverability_score_planner_v5,learned_failure_classifier,damage,0.00781,0.01783,-0.01002,3,10
adversarial_compound_shift,recoverability_score_planner_v5,learned_failure_classifier,total_cost,0.08518,0.04213,0.04305,1,10
adversarial_compound_shift,recoverability_score_planner_v5,learned_failure_classifier,calibration_error,0.00248,0.03784,-0.03536,7,10
adversarial_compound_shift,recoverability_score_planner_v5,learned_failure_classifier,safety_utility,-0.08947,0.10225,-0.19172,3,10
adversarial_compound_shift,recoverability_score_planner_v5,learned_expected_utility,goal_success,-0.07188,0.04189,-0.11377,2,10
adversarial_compound_shift,recoverability_score_planner_v5,learned_expected_utility,recovery_success,0.00557,0.06534,-0.05976,5,10
adversarial_compound_shift,recoverability_score_planner_v5,learned_expected_utility,irreversible_failure,0.00000,0.00000,0.00000,0,10
adversarial_compound_shift,recoverability_score_planner_v5,learned_expected_utility,damage,0.00781,0.01311,-0.00530,3,10
adversarial_compound_shift,recoverability_score_planner_v5,learned_expected_utility,total_cost,0.10790,0.03073,0.07717,0,10
adversarial_compound_shift,recoverability_score_planner_v5,learned_expected_utility,calibration_error,-0.00126,0.02742,-0.02868,5,10
adversarial_compound_shift,recoverability_score_planner_v5,learned_expected_utility,safety_utility,-0.11449,0.06630,-0.18080,1,10
adversarial_compound_shift,recoverability_score_planner_v5,cvar_recovery_planner,goal_success,0.01250,0.05753,-0.04503,4,10
adversarial_compound_shift,recoverability_score_planner_v5,cvar_recovery_planner,recovery_success,0.04903,0.15679,-0.10776,4,10
adversarial_compound_shift,recoverability_score_planner_v5,cvar_recovery_planner,irreversible_failure,-0.00312,0.00408,-0.00721,2,10
adversarial_compound_shift,recoverability_score_planner_v5,cvar_recovery_planner,damage,-0.00312,0.01568,-0.01881,4,10
adversarial_compound_shift,recoverability_score_planner_v5,cvar_recovery_planner,total_cost,-0.00491,0.04068,-0.04558,5,10
adversarial_compound_shift,recoverability_score_planner_v5,cvar_recovery_planner,calibration_error,-0.01344,0.04714,-0.06058,4,10
adversarial_compound_shift,recoverability_score_planner_v5,cvar_recovery_planner,safety_utility,0.02594,0.09495,-0.06902,6,10
budget_tight_shift,recoverability_score_planner_v5,robust_margin_planner,goal_success,0.62812,0.05789,0.57023,10,10
budget_tight_shift,recoverability_score_planner_v5,robust_margin_planner,recovery_success,0.14365,0.11375,0.02990,8,10
budget_tight_shift,recoverability_score_planner_v5,robust_margin_planner,irreversible_failure,-0.00312,0.00408,-0.00721,2,10
budget_tight_shift,recoverability_score_planner_v5,robust_margin_planner,damage,-0.01563,0.01444,-0.03006,6,10
