split,method,seed,episodes,goal_success,deviation_rate,recovery_success,irreversible_failure,damage,budget_overrun,total_cost,recovery_attempts,calibration_error,predicted_unsafe,risk_upper,plan_diversity,safety_utility
adversarial_compound_shift,nominal_shortest_plan,0,64,0.56250,0.43750,0.07143,0.21875,0.31250,0.21875,1.46779,0.21875,0.56472,0.99663,0.99865,0.14286,-0.38930
adversarial_compound_shift,nominal_shortest_plan,1,64,0.43750,0.56250,0.00000,0.29688,0.35938,0.26562,1.54703,0.26562,0.43323,0.99238,0.99511,0.14286,-0.73001
adversarial_compound_shift,nominal_shortest_plan,2,64,0.51562,0.48438,0.00000,0.26562,0.35938,0.21875,1.45622,0.21875,0.51303,0.99174,0.99508,0.14286,-0.57353
adversarial_compound_shift,nominal_shortest_plan,3,64,0.51562,0.48438,0.03226,0.29688,0.37500,0.18750,1.41225,0.18750,0.51689,0.98591,0.99072,0.14286,-0.63251
adversarial_compound_shift,nominal_shortest_plan,4,64,0.51562,0.48438,0.00000,0.28125,0.26562,0.20312,1.43271,0.20312,0.51658,0.99415,0.99736,0.14286,-0.48102
adversarial_compound_shift,nominal_shortest_plan,5,64,0.56250,0.43750,0.00000,0.17188,0.25000,0.26562,1.55152,0.26562,0.55664,0.99327,0.99435,0.14286,-0.25537
adversarial_compound_shift,nominal_shortest_plan,6,64,0.60938,0.39062,0.08000,0.12500,0.20312,0.26562,1.54625,0.26562,0.60556,0.99505,0.99788,0.14286,-0.06979
adversarial_compound_shift,nominal_shortest_plan,7,64,0.60938,0.39062,0.04000,0.26562,0.32812,0.12500,1.28350,0.12500,0.60540,0.98867,0.99413,0.14286,-0.39565
adversarial_compound_shift,nominal_shortest_plan,8,64,0.59375,0.40625,0.00000,0.29688,0.31250,0.10938,1.24831,0.10938,0.58338,0.98630,0.99222,0.14286,-0.43893
adversarial_compound_shift,nominal_shortest_plan,9,64,0.59375,0.40625,0.03846,0.21875,0.32812,0.18750,1.40255,0.18750,0.58699,0.98288,0.98674,0.14286,-0.36064
adversarial_compound_shift,risk_averse_plan,0,64,0.65625,0.12500,0.75000,0.00000,0.03125,0.34375,2.00448,0.12500,0.36151,0.08800,0.16255,0.85714,0.33808
adversarial_compound_shift,risk_averse_plan,1,64,0.53125,0.12500,0.75000,0.00000,0.01562,0.46875,2.07378,0.12500,0.47035,0.06717,0.13699,0.85714,0.18254
adversarial_compound_shift,risk_averse_plan,2,64,0.56250,0.20312,0.76923,0.00000,0.01562,0.43750,2.06289,0.20312,0.45342,0.07346,0.14485,0.85714,0.22559
adversarial_compound_shift,risk_averse_plan,3,64,0.57812,0.17188,0.81818,0.00000,0.01562,0.42188,2.11347,0.17188,0.44123,0.08092,0.14243,0.85714,0.24264
adversarial_compound_shift,risk_averse_plan,4,64,0.56250,0.23438,0.80000,0.01562,0.03125,0.42188,2.11780,0.21875,0.42678,0.07870,0.15029,0.85714,0.18058
adversarial_compound_shift,risk_averse_plan,5,64,0.54688,0.18750,0.91667,0.00000,0.00000,0.45312,2.10023,0.18750,0.45852,0.07648,0.14580,0.85714,0.22026
adversarial_compound_shift,risk_averse_plan,6,64,0.59375,0.18750,0.91667,0.00000,0.01562,0.40625,2.06424,0.18750,0.42089,0.08154,0.14584,0.85714,0.26767
adversarial_compound_shift,risk_averse_plan,7,64,0.59375,0.17188,0.90909,0.00000,0.04688,0.40625,2.04295,0.17188,0.42582,0.08082,0.15061,0.85714,0.23188
adversarial_compound_shift,risk_averse_plan,8,64,0.62500,0.17188,0.90909,0.00000,0.01562,0.37500,2.05664,0.17188,0.39754,0.08362,0.15516,0.85714,0.31047
adversarial_compound_shift,risk_averse_plan,9,64,0.50000,0.21875,0.64286,0.03125,0.04688,0.46875,2.07495,0.18750,0.49822,0.06589,0.13421,0.85714,0.05900
adversarial_compound_shift,robust_margin_planner,0,64,0.14062,0.21875,0.35714,0.00000,0.07812,0.85938,2.48626,0.21875,0.69798,0.30037,0.37492,0.28571,-0.45281
adversarial_compound_shift,robust_margin_planner,1,64,0.12500,0.26562,0.76471,0.00000,0.07812,0.87500,2.55784,0.26562,0.66729,0.30697,0.37679,0.28571,-0.47963
adversarial_compound_shift,robust_margin_planner,2,64,0.10938,0.23438,0.53333,0.00000,0.04688,0.89062,2.53913,0.23438,0.68228,0.27870,0.35009,0.28571,-0.46173
adversarial_compound_shift,robust_margin_planner,3,64,0.14062,0.21875,0.35714,0.01562,0.10938,0.84375,2.46099,0.20312,0.67557,0.27698,0.33848,0.28571,-0.51016
adversarial_compound_shift,robust_margin_planner,4,64,0.18750,0.21875,0.57143,0.00000,0.06250,0.81250,2.45673,0.21875,0.68777,0.27768,0.34927,0.28571,-0.36841
adversarial_compound_shift,robust_margin_planner,5,64,0.12500,0.23438,0.60000,0.01562,0.06250,0.87500,2.52117,0.21875,0.63419,0.33875,0.40807,0.28571,-0.48529
